[DEBUG][{2021-04-02 16:34:24,909][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)<==      Total: 2
[DEBUG][{2021-04-02 16:34:24,910][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.resetAutoCommit(JdbcTransaction.java:122)Resetting autocommit to true on JDBC Connection [com.mysql.jdbc.JDBC4Connection@62fdb4a6]
[DEBUG][{2021-04-02 16:34:24,911][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.close(JdbcTransaction.java:90)Closing JDBC Connection [com.mysql.jdbc.JDBC4Connection@62fdb4a6]
[DEBUG][{2021-04-02 16:34:24,912][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.pushConnection(PooledDataSource.java:381)Returned connection 1660794022 to pool.
[DEBUG][{2021-04-02 16:48:22,607][org.apache.ibatis.logging.LogFactory]org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:105)Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][{2021-04-02 16:48:22,612][org.apache.ibatis.logging.LogFactory]org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:105)Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][{2021-04-02 16:48:22,652][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:48:22,654][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:48:22,655][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:48:22,655][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:48:22,829][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.openConnection(JdbcTransaction.java:136)Opening JDBC Connection
[DEBUG][{2021-04-02 16:48:23,244][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.popConnection(PooledDataSource.java:424)Created connection 1660794022.
